dataset,variant,n,exact_match,f1,rouge_l,source
financebench,1d_evaluation,150,0.1867,0.4214,0.3956,paper_dir
financebench,full_(agent_+_all_tools),150,0.18,0.4106,0.3862,paper_dir
financebench,manual_prompt,150,0.0333,0.2559,0.2201,paper_dir
financebench,w_o_agent_(for-loop),150,0.18,0.3998,0.3758,paper_dir
financebench,w_o_evaluate_tool,150,0.1733,0.3947,0.371,paper_dir
financebench,w_o_search_(no_re-retrieval),150,0.1667,0.3925,0.3676,paper_dir
financebench,w_o_section_index,150,0.18,0.4127,0.3818,paper_dir
financebench,w_o_term_index,150,0.18,0.4102,0.3811,paper_dir
2wikimultihopqa,1d_evaluation,200,0.505,0.6081,0.6064,paper_dir
2wikimultihopqa,full_(agent_+_all_tools),200,0.5,0.6107,0.609,paper_dir
2wikimultihopqa,manual_prompt,200,0.315,0.4961,0.4944,paper_dir
2wikimultihopqa,w_o_agent_(for-loop),200,0.38,0.4947,0.493,paper_dir
2wikimultihopqa,w_o_evaluate_tool,200,0.495,0.5959,0.5942,paper_dir
2wikimultihopqa,w_o_search_(no_re-retrieval),200,0.445,0.5407,0.539,paper_dir
2wikimultihopqa,w_o_section_index,200,0.495,0.6017,0.6001,paper_dir
2wikimultihopqa,w_o_term_index,200,0.505,0.6135,0.6118,paper_dir
musique,1d_evaluation,200,0.34,0.4551,0.4542,paper_dir
musique,full_(agent_+_all_tools),200,0.345,0.449,0.4481,paper_dir
musique,manual_prompt,200,0.365,0.4806,0.4806,paper_dir
musique,w_o_agent_(for-loop),200,0.3,0.3985,0.398,paper_dir
musique,w_o_evaluate_tool,200,0.325,0.4404,0.4395,paper_dir
musique,w_o_search_(no_re-retrieval),200,0.345,0.4203,0.4203,paper_dir
musique,w_o_section_index,200,0.335,0.4366,0.4357,paper_dir
musique,w_o_term_index,200,0.34,0.4447,0.4438,paper_dir
hotpotqa,1d_evaluation,200,0.53,0.6796,0.6776,paper_dir
hotpotqa,full_(agent_+_all_tools),200,0.525,0.674,0.672,paper_dir
hotpotqa,manual_prompt,200,0.42,0.6077,0.6034,paper_dir
hotpotqa,w_o_agent_(for-loop),200,0.48,0.6358,0.6338,paper_dir
hotpotqa,w_o_evaluate_tool,200,0.515,0.6667,0.6647,paper_dir
hotpotqa,w_o_search_(no_re-retrieval),200,0.465,0.6209,0.6189,paper_dir
hotpotqa,w_o_section_index,200,0.51,0.6582,0.6562,paper_dir
hotpotqa,w_o_term_index,200,0.51,0.6656,0.6636,paper_dir
financebench,manual_prompt_bugfixed,150,0.0333,0.2579,0.2254,2026-03-27_rerun
hotpotqa,manual_prompt_bugfixed,200,0.43,0.6137,0.61,2026-03-27_rerun
2wikimultihopqa,manual_prompt_bugfixed,200,0.32,0.4885,0.4868,2026-03-27_rerun
musique,manual_prompt_bugfixed,200,0.3467,0.4609,0.4605,2026-03-27_rerun
