model,dataset,pipeline,n,f1_mean,f1_ci_lower,f1_ci_upper,f1_std
gemini-flash-lite,musique,agentic_(react),127,0.4398,0.3624,0.5185,0.4487
gemini-flash-lite,musique,crag_replica,200,0.2507,0.1975,0.3062,0.3914
gemini-flash-lite,musique,loop_refinement,200,0.3985,0.3367,0.4585,0.4414
gemini-flash-lite,musique,naive_rag,200,0.3425,0.2845,0.4016,0.4239
gemini-flash-lite,musique,single-pass,200,0.384,0.3238,0.4415,0.4341
gemini-flash-lite,financebench,agentic_(react),109,0.3867,0.3233,0.451,0.3438
gemini-flash-lite,financebench,crag_replica,150,0.3327,0.2822,0.384,0.3202
gemini-flash-lite,financebench,loop_refinement,150,0.3998,0.344,0.4571,0.3519
gemini-flash-lite,financebench,naive_rag,150,0.398,0.3438,0.454,0.3488
gemini-flash-lite,financebench,single-pass,150,0.3809,0.326,0.4368,0.3463
gemini-flash-lite,2wikimultihopqa,agentic_(react),145,0.5781,0.5065,0.6478,0.4345
gemini-flash-lite,2wikimultihopqa,crag_replica,200,0.2555,0.209,0.3047,0.345
gemini-flash-lite,2wikimultihopqa,loop_refinement,200,0.4947,0.4334,0.5568,0.4378
gemini-flash-lite,2wikimultihopqa,naive_rag,200,0.3778,0.3197,0.4346,0.4235
gemini-flash-lite,2wikimultihopqa,single-pass,200,0.4864,0.4257,0.5475,0.4389
gemini-flash-lite,hotpotqa,agentic_(react),161,0.6659,0.6037,0.7248,0.3959
gemini-flash-lite,hotpotqa,crag_replica,200,0.5533,0.4942,0.6125,0.4278
gemini-flash-lite,hotpotqa,loop_refinement,200,0.6358,0.5794,0.6922,0.4113
gemini-flash-lite,hotpotqa,naive_rag,200,0.6057,0.5485,0.6622,0.4203
gemini-flash-lite,hotpotqa,single-pass,200,0.6295,0.5723,0.6862,0.4131
gpt-5-mini,2wikimultihopqa,agentic_(react),148,0.516,0.4386,0.5905,0.4696
gpt-5-mini,2wikimultihopqa,crag_replica,200,0.6373,0.5768,0.6978,0.4421
gpt-5-mini,2wikimultihopqa,loop_refinement,200,0.5097,0.4463,0.5739,0.4637
gpt-5-mini,2wikimultihopqa,naive_rag,200,0.4005,0.3372,0.4635,0.4612
gpt-5-mini,2wikimultihopqa,single-pass,200,0.4653,0.4021,0.5302,0.4671
gpt-5-mini,hotpotqa,agentic_(react),165,0.7115,0.6526,0.7671,0.3731
gpt-5-mini,hotpotqa,crag_replica,200,0.6975,0.6435,0.7516,0.3884
gpt-5-mini,hotpotqa,loop_refinement,200,0.6892,0.6355,0.7414,0.387
gpt-5-mini,hotpotqa,naive_rag,200,0.6566,0.5995,0.7114,0.4065
gpt-5-mini,hotpotqa,single-pass,200,0.6783,0.623,0.7326,0.3959
gpt-5-mini,financebench,agentic_(react),84,0.3011,0.2282,0.3764,0.3445
gpt-5-mini,financebench,crag_replica,150,0.3427,0.2873,0.398,0.3452
gpt-5-mini,financebench,loop_refinement,150,0.3277,0.2743,0.3839,0.3448
gpt-5-mini,financebench,naive_rag,150,0.3207,0.2668,0.375,0.3363
gpt-5-mini,financebench,single-pass,150,0.308,0.2549,0.3627,0.3345
gpt-5-mini,musique,agentic_(react),121,0.5264,0.4472,0.6048,0.4438
gpt-5-mini,musique,crag_replica,200,0.4913,0.4288,0.5534,0.4527
gpt-5-mini,musique,loop_refinement,200,0.505,0.4431,0.5674,0.4491
gpt-5-mini,musique,naive_rag,200,0.4409,0.3806,0.5015,0.4428
gpt-5-mini,musique,single-pass,200,0.5036,0.4406,0.5658,0.4497
