model,dataset,comparison,delta,boot_p,wilcoxon_p,cohens_d,significant_bonferroni
gemini-flash-lite,musique,agentic_vs_crag_replica,0.1775,0.0,2.2e-05,0.4206,True
gemini-flash-lite,musique,agentic_vs_loop_refinement,0.0393,0.1608,0.225631,0.0873,False
gemini-flash-lite,musique,agentic_vs_naive_rag,0.1121,0.0,0.002139,0.2547,True
gemini-flash-lite,musique,agentic_vs_single-pass,0.0481,0.103,0.235813,0.1078,False
gemini-flash-lite,financebench,agentic_vs_crag_replica,0.0563,0.0254,0.131932,0.169,False
gemini-flash-lite,financebench,agentic_vs_loop_refinement,-0.0203,0.3936,0.860328,-0.0576,False
gemini-flash-lite,financebench,agentic_vs_naive_rag,-0.0091,0.6656,0.938284,-0.0262,False
gemini-flash-lite,financebench,agentic_vs_single-pass,0.0096,0.7016,0.443183,0.0276,False
gemini-flash-lite,2wikimultihopqa,agentic_vs_crag_replica,0.3348,0.0,0.0,0.8663,True
gemini-flash-lite,2wikimultihopqa,agentic_vs_loop_refinement,0.1024,0.0,4.9e-05,0.2351,True
gemini-flash-lite,2wikimultihopqa,agentic_vs_naive_rag,0.2294,0.0,0.0,0.5425,True
gemini-flash-lite,2wikimultihopqa,agentic_vs_single-pass,0.1024,0.0,4.9e-05,0.2351,True
gemini-flash-lite,hotpotqa,agentic_vs_crag_replica,0.0989,0.0002,0.001448,0.2417,True
gemini-flash-lite,hotpotqa,agentic_vs_loop_refinement,0.0065,0.7716,0.869146,0.0164,False
gemini-flash-lite,hotpotqa,agentic_vs_naive_rag,0.0415,0.109,0.149833,0.1026,False
gemini-flash-lite,hotpotqa,agentic_vs_single-pass,0.0081,0.7012,0.688799,0.0205,False
gpt-5-mini,2wikimultihopqa,agentic_vs_crag_replica,-0.1097,0.0042,0.003311,-0.24,True
gpt-5-mini,2wikimultihopqa,agentic_vs_loop_refinement,0.0298,0.33,0.381011,0.0641,False
gpt-5-mini,2wikimultihopqa,agentic_vs_naive_rag,0.1463,0.0,4.2e-05,0.3159,True
gpt-5-mini,2wikimultihopqa,agentic_vs_single-pass,0.0786,0.0056,0.010008,0.1689,True
gpt-5-mini,hotpotqa,agentic_vs_crag_replica,-0.0011,0.9468,0.90896,-0.0028,False
gpt-5-mini,hotpotqa,agentic_vs_loop_refinement,0.0028,0.9204,0.858119,0.0073,False
gpt-5-mini,hotpotqa,agentic_vs_naive_rag,0.0435,0.0128,0.042315,0.1122,False
gpt-5-mini,hotpotqa,agentic_vs_single-pass,0.016,0.5044,0.419747,0.0418,False
gpt-5-mini,financebench,agentic_vs_crag_replica,-0.0466,0.0418,0.177347,-0.1307,False
gpt-5-mini,financebench,agentic_vs_loop_refinement,-0.0173,0.5394,0.584853,-0.0495,False
gpt-5-mini,financebench,agentic_vs_naive_rag,0.009,0.6424,0.548385,0.0265,False
gpt-5-mini,financebench,agentic_vs_single-pass,0.0179,0.547,0.974671,0.0528,False
gpt-5-mini,musique,agentic_vs_crag_replica,0.0057,0.8658,0.805588,0.0128,False
gpt-5-mini,musique,agentic_vs_loop_refinement,-0.003,0.9068,0.934037,-0.0067,False
gpt-5-mini,musique,agentic_vs_naive_rag,0.1013,0.0072,0.009491,0.2287,True
gpt-5-mini,musique,agentic_vs_single-pass,-0.0182,0.5848,0.563332,-0.0409,False
