model,dataset,pipeline,total,refusals,refusal_rate
gemini-flash-lite,musique,agentic_(react),200,2,0.01
gemini-flash-lite,musique,crag_replica,200,2,0.01
gemini-flash-lite,musique,loop_refinement,200,0,0.0
gemini-flash-lite,musique,naive_rag,200,1,0.005
gemini-flash-lite,musique,single-pass,200,0,0.0
gemini-flash-lite,financebench,agentic_(react),150,2,0.0133
gemini-flash-lite,financebench,crag_replica,150,13,0.0867
gemini-flash-lite,financebench,loop_refinement,150,1,0.0067
gemini-flash-lite,financebench,naive_rag,150,4,0.0267
gemini-flash-lite,financebench,single-pass,150,1,0.0067
gemini-flash-lite,2wikimultihopqa,agentic_(react),200,2,0.01
gemini-flash-lite,2wikimultihopqa,crag_replica,200,4,0.02
gemini-flash-lite,2wikimultihopqa,loop_refinement,200,8,0.04
gemini-flash-lite,2wikimultihopqa,naive_rag,200,7,0.035
gemini-flash-lite,2wikimultihopqa,single-pass,200,8,0.04
gemini-flash-lite,hotpotqa,agentic_(react),200,0,0.0
gemini-flash-lite,hotpotqa,crag_replica,200,0,0.0
gemini-flash-lite,hotpotqa,loop_refinement,200,1,0.005
gemini-flash-lite,hotpotqa,naive_rag,200,0,0.0
gemini-flash-lite,hotpotqa,single-pass,200,0,0.0
gpt-5-mini,2wikimultihopqa,agentic_(react),200,20,0.1
gpt-5-mini,2wikimultihopqa,crag_replica,200,6,0.03
gpt-5-mini,2wikimultihopqa,loop_refinement,200,29,0.145
gpt-5-mini,2wikimultihopqa,naive_rag,200,38,0.19
gpt-5-mini,2wikimultihopqa,single-pass,200,33,0.165
gpt-5-mini,hotpotqa,agentic_(react),200,0,0.0
gpt-5-mini,hotpotqa,crag_replica,200,1,0.005
gpt-5-mini,hotpotqa,loop_refinement,200,2,0.01
gpt-5-mini,hotpotqa,naive_rag,200,2,0.01
gpt-5-mini,hotpotqa,single-pass,200,2,0.01
gpt-5-mini,financebench,agentic_(react),150,2,0.0133
gpt-5-mini,financebench,crag_replica,150,2,0.0133
gpt-5-mini,financebench,loop_refinement,150,4,0.0267
gpt-5-mini,financebench,naive_rag,150,7,0.0467
gpt-5-mini,financebench,single-pass,150,8,0.0533
gpt-5-mini,musique,agentic_(react),200,14,0.07
gpt-5-mini,musique,crag_replica,200,17,0.085
gpt-5-mini,musique,loop_refinement,200,8,0.04
gpt-5-mini,musique,naive_rag,200,13,0.065
gpt-5-mini,musique,single-pass,200,10,0.05
