model,dataset,pipeline,n,errors,exact_match,f1,rouge_l
gemini-flash-lite,musique,agentic_(react),200,0,0.33,0.4383,0.4383
gemini-flash-lite,musique,crag_replica,200,0,0.175,0.2507,0.2507
gemini-flash-lite,musique,loop_refinement,200,0,0.3,0.3985,0.398
gemini-flash-lite,musique,naive_rag,200,0,0.235,0.3425,0.3416
gemini-flash-lite,musique,single-pass,200,0,0.28,0.384,0.3831
gemini-flash-lite,financebench,agentic_(react),150,0,0.1533,0.3859,0.3562
gemini-flash-lite,financebench,crag_replica,150,0,0.1067,0.3327,0.3032
gemini-flash-lite,financebench,loop_refinement,150,0,0.18,0.3998,0.3758
gemini-flash-lite,financebench,naive_rag,150,0,0.1667,0.398,0.3681
gemini-flash-lite,financebench,single-pass,150,0,0.16,0.3809,0.3567
gemini-flash-lite,2wikimultihopqa,agentic_(react),200,0,0.47,0.5844,0.5827
gemini-flash-lite,2wikimultihopqa,crag_replica,200,0,0.13,0.2555,0.2555
gemini-flash-lite,2wikimultihopqa,loop_refinement,200,0,0.38,0.4947,0.493
gemini-flash-lite,2wikimultihopqa,naive_rag,200,0,0.275,0.3778,0.3762
gemini-flash-lite,2wikimultihopqa,single-pass,200,0,0.375,0.4864,0.4847
gemini-flash-lite,hotpotqa,agentic_(react),200,0,0.505,0.6576,0.6556
gemini-flash-lite,hotpotqa,crag_replica,200,0,0.4,0.5533,0.5533
gemini-flash-lite,hotpotqa,loop_refinement,200,0,0.48,0.6358,0.6338
gemini-flash-lite,hotpotqa,naive_rag,200,0,0.445,0.6057,0.6037
gemini-flash-lite,hotpotqa,single-pass,200,0,0.47,0.6295,0.6275
gpt-5-mini,2wikimultihopqa,agentic_(react),200,0,0.485,0.5507,0.5507
gpt-5-mini,2wikimultihopqa,crag_replica,200,0,0.55,0.6373,0.6357
gpt-5-mini,2wikimultihopqa,loop_refinement,200,0,0.425,0.5097,0.5081
gpt-5-mini,2wikimultihopqa,naive_rag,200,0,0.335,0.4005,0.3988
gpt-5-mini,2wikimultihopqa,single-pass,200,0,0.39,0.4653,0.4636
gpt-5-mini,hotpotqa,agentic_(react),200,0,0.51,0.6967,0.6967
gpt-5-mini,hotpotqa,crag_replica,200,0,0.535,0.6975,0.6955
gpt-5-mini,hotpotqa,loop_refinement,200,0,0.51,0.6892,0.6872
gpt-5-mini,hotpotqa,naive_rag,200,0,0.485,0.6566,0.6546
gpt-5-mini,hotpotqa,single-pass,200,0,0.505,0.6783,0.6763
gpt-5-mini,financebench,agentic_(react),150,0,0.1333,0.3173,0.3005
gpt-5-mini,financebench,crag_replica,150,0,0.1467,0.3427,0.321
gpt-5-mini,financebench,loop_refinement,150,0,0.16,0.3277,0.3125
gpt-5-mini,financebench,naive_rag,150,0,0.14,0.3207,0.3015
gpt-5-mini,financebench,single-pass,150,0,0.14,0.308,0.2911
gpt-5-mini,musique,agentic_(react),200,0,0.375,0.5159,0.5159
gpt-5-mini,musique,crag_replica,200,0,0.37,0.4913,0.4913
gpt-5-mini,musique,loop_refinement,200,0,0.37,0.505,0.505
gpt-5-mini,musique,naive_rag,200,0,0.31,0.4409,0.4406
gpt-5-mini,musique,single-pass,200,0,0.375,0.5036,0.5027
